Classifier,Organization Name,Industries,Description,Headquarters Location,Organization Name URL,Total Funding Amount Currency (in USD),Last Funding Date
N,TrueHome,Real Estate,TrueHome is a Mexican real estate company that aims to improve the real estate services in the country.,"Mexico City, Distrito Federal, Mexico",https://www.crunchbase.com/organization/truehomemx,10100000.0,2020-03-04
N,Chqbook,"Finance, Financial Services, FinTech","Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Delhi, Delhi, India",https://www.crunchbase.com/organization/chqbook,5000000.0,2020-03-02
N,Checkfront,"Cloud Computing, Hospitality, Internet, Mobile, SaaS, Software, Tourism, Travel","Checkfront offers online booking services for tours and activities, rentals, and accommodations.","Victoria, British Columbia, Canada",https://www.crunchbase.com/organization/checkfront,7777342.0,2020-03-09
Y,ZunRoof,"Clean Energy, CleanTech, Energy, Environmental Consulting, Renewable Energy, Solar",ZunRoof is a home-tech startup bringing smart and clean energy for solar rooftop systems.,"Gurgaon, Haryana, India",https://www.crunchbase.com/organization/zunroof,4669234.0,2020-03-16
N,Welcome Technologies,"Education, Financial Services, FinTech, Market Research, Marketing, Social Entrepreneurship","We build technology that's powering immigrant success with services across Finance, Education, Healthcare and more.","Los Angeles, California, United States",https://www.crunchbase.com/organization/welcometechnologies,8000000.0,2020-03-03
N,Leaf Logistics,"Logistics, Supply Chain Management",Leaf Logistics brings financial market efficiency to the transportation marketplace.,"New York, New York, United States",https://www.crunchbase.com/organization/leaf-logistics,21500000.0,2020-03-11
N,Pixpay,"FinTech, Mobile Payments, Payments",Pixpay provides mobile banking for teens.,"Paris, Ile-de-France, France",https://www.crunchbase.com/organization/pixpay,12455507.0,2020-03-12
N,AKUR8,"Financial Services, FinTech, Information Technology, Insurance, InsurTech, SaaS",AKUR8 is a SaaS Insurtech specialized in Insurance pricing optimization with Transparent AI.,"Paris, Ile-de-France, France",https://www.crunchbase.com/organization/akur8,11556228.0,2020-03-12
N,Lingumi,"Apps, E-Learning, EdTech, Education",Lingumi is an edtech startup that teaches English to kids aged 2 to 6 using an app and a range of physical products.,"London, England, United Kingdom",https://www.crunchbase.com/organization/lingumi,7271903.0,2020-03-13
N,Fantuan,"E-Commerce, Food Delivery, Internet, Restaurants","Fantuan provides food delivery, reviews, e-commerce and advertising, and marketing services for local communities.","Burnaby, British Columbia, Canada",https://www.crunchbase.com/organization/just-order,15060000.0,2020-03-06
N,Recount Media,"Broadcasting, Media and Entertainment",Recount Media is a fast-growing startup focused on high quality journalism and short form video,"New York, New York, United States",https://www.crunchbase.com/organization/recount-media,13000000.0,2020-03-10
N,Apsiyon,"Accounting, Building Maintenance, CRM, Debt Collections, Energy Efficiency, Facility Management, Green Building, Payments, Property Management, Smart Building","All a property manager needs on one platform: SaaS, Mobile App, Electronic Payment, CRM, Proptech, Inventory & Maintenance","Istanbul, Istanbul, Turkey",https://www.crunchbase.com/organization/apsiyon,10000000.0,2020-03-13
N,Nepris,"Charter Schools, EdTech, Education, Internet",Nepris connects educators and learners with a network of industry professionals.,"Plano, Texas, United States",https://www.crunchbase.com/organization/nepris,7000000.0,2020-03-11
N,Rivet,"Health Care, Information Technology, Medical",Healthcare SaaS,"Salt Lake City, Utah, United States",https://www.crunchbase.com/organization/rivethealth,8250000.0,2020-03-10
N,theklicker,"E-Commerce, Information Services, Internet, Online Portals",theklicker is an online tool that connects people to e-commerce in one place.,"Phoenix, Arizona, United States",https://www.crunchbase.com/organization/theklicker,3800000.0,2020-03-03
N,Landing.jobs,"Career Planning, E-Commerce, Recruiting, Social Recruiting","We’re a candidate-driven tech jobs marketplace, matching the best tech professionals to the best companies out there.","Lisbon, Lisboa, Portugal",https://www.crunchbase.com/organization/landingjobs,3066951.0,2020-03-05
N,Bolt Mobility,"Information Services, Information Technology","Bolt's mission is to redesign city mobility around the world with smart, safe and sustainable transportation solutions.","Miami Beach, Florida, United States",https://www.crunchbase.com/organization/bolt-mobility-0122,30000000.0,2020-03-03
N,UnitQ,"Quality Assurance, Software",UnitQ is the real-time solution for product and engineering teams to stay on top of product quality across all platforms.,"San Mateo, California, United States",https://www.crunchbase.com/organization/unitq,11000000.0,2020-03-03
N,EngageRocket,"Cloud Computing, Human Resources, Information Services, Information Technology, Software",EngageRocket is a cloud-based platform that helps leaders and organizations in decision making using real-time data.,"Singapore, Central Region, Singapore",https://www.crunchbase.com/organization/engagerocket,3174135.0,2020-03-18
N,DisruptOPS,"Cloud Management, Cyber Security, Information Technology, Robotics, Software","DisruptOps is building a platform to bring unprecedented insight, control, and expertise into your cloud environment.","Kansas City, Missouri, United States",https://www.crunchbase.com/organization/disruptops,11500000.0,2020-03-10
N,Axis Security,"Information Technology, Network Security",Axis Security is a private application access company.,"San Mateo, California, United States",https://www.crunchbase.com/organization/axis-security,17000000.0,2020-03-17
N,Fuzu,"Career Planning, Consulting",The next paradigm in career development.,"Helsinki, Southern Finland, Finland",https://www.crunchbase.com/organization/fuzu,6620995.0,2020-03-10
N,Attila,"Information Services, Information Technology","Attila provides visibility, control, and threat defense across physical, virtual, and cloud applications.","Fulton, Maryland, United States",https://www.crunchbase.com/organization/attila-security-inc,3250000.0,2020-03-16
N,URBANTZ,"Delivery, Information Technology, Logistics, SaaS, Software",Urbantz is a delivery management platform to optimize and control first and last mile operations.,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",https://www.crunchbase.com/organization/urbantz,11131090.0,2020-03-12
N,PayLead,"Big Data, Billing, Loyalty Programs, Marketing, Payments",Paylead uses transaction data to get to know the customer better and to recommend personalized cashback offers based on purchasing behavior.,"Bordeaux, Aquitaine, France",https://www.crunchbase.com/organization/paylead,7566079.0,2020-03-05
N,Pocket Cocktails,"Food and Beverage, Food Delivery, Wine And Spirits",Pocket Cocktails makes takeaway cocktails for all generations and every dress code.,"Vienna, Wien, Austria",https://www.crunchbase.com/organization/pocket-cocktails-88b1,110805.0,2020-03-01
N,Empower,"Banking, Finance, FinTech, Personal Finance",Empower is Building the best mobile-banking experience in the world.,"San Francisco, California, United States",https://www.crunchbase.com/organization/empower-2,24500000.0,2020-03-05
N,AudioTelligence,"Audio, Software",AudioTelligence delivers real-time audio processing technology for the enhancement of automatic speech recognition (ASR) systems.,"Cambridge, Cambridgeshire, United Kingdom",https://www.crunchbase.com/organization/audiotelligence,12507990.0,2020-03-02
N,NorthOne,"Banking, Financial Services, FinTech",A better bank account for your business.,"New York, New York, United States",https://www.crunchbase.com/organization/northone,23291570.0,2020-03-10
N,"Kaleidoscope Group, PBC",Software,"Kaleidoscope designs, administers and hosts branded scholarship and grant programs on a cloud based marketplace.","Minneapolis, Minnesota, United States",https://www.crunchbase.com/organization/kaleidoscope-group-pbc,5950000.0,2020-03-11
N,Reniac,"Analytics, Big Data, Software","Reniac is a group of passionate entrepreneurs with data, software and systems experience from companies.","San Jose, California, United States",https://www.crunchbase.com/organization/reniac,1528000.0,2020-03-10
N,Pitstop,"Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Bengaluru, Karnataka, India",https://www.crunchbase.com/organization/pitstop-2,5002517.0,2020-03-16
N,Move This World,"E-Learning, EdTech, Education, Wellness",Move This World equips individuals with video tools to strengthen their emotional wellbeing.,"New York, New York, United States",https://www.crunchbase.com/organization/move-this-world,2750000.0,2020-03-05
N,Payslip,"Information Services, Information Technology, Software",A Global Payroll Software Solution Provider Company .,"Mayo, Mayo, Ireland",https://www.crunchbase.com/organization/payslip,4252199.0,2020-03-12
N,Membrion,Renewable Energy,"Membrion is a manufacturer of ultra-low cost, high performance ion exchange membranes.","Seattle, Washington, United States",https://www.crunchbase.com/organization/membrion,11383000.0,2020-03-04
N,Outernets,"Ad Targeting, Advertising Platforms, Marketing Automation, Retail Technology",Outernets transforming windows into interactive digital displays,"New York, New York, United States",https://www.crunchbase.com/organization/outernets,2500000.0,2020-03-02
N,Energiency,"Industrial Engineering, SaaS, Service Industry",Energiency is SaaS platform to assess and manage energy performance industrial environment.,"Rennes, Bretagne, France",https://www.crunchbase.com/organization/energiency,7987994.0,2020-03-10
N,MobieTrain,"E-Learning, Education, Software",MobieTrain is designed to meet the most ambitious learning needs of businesses today. ,"Antwerpen, Antwerpen, Belgium",https://www.crunchbase.com/organization/mobietrain,3161366.0,2020-03-12
N,Billon Group,"Blockchain, Financial Services, FinTech, Information Technology, Software","Billon Group is an interoperable, enterprise grade software platform.","London, England, United Kingdom",https://www.crunchbase.com/organization/billon-group,22239575.0,2020-03-19
N,Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,"Bangalore, Karnataka, India",https://www.crunchbase.com/organization/smartcoin,9000000.0,2020-03-17
N,hoolah,FinTech,"hoolah provides interest-free installments, helping you get the things you want and need","Singapore, Central Region, Singapore",https://www.crunchbase.com/organization/hoolah,,2020-03-05
Y,Demand Side Instruments,"Agriculture, AgTech, Energy, Information Technology, Renewable Energy, Wireless","Demand Side Instruments, they are aware of the finiteness of natural resources around the world.","Caen, Basse-Normandie, France",https://www.crunchbase.com/organization/demand-side-instruments,4898402.0,2020-03-10
N,AiDock,"Artificial Intelligence, Document Management, Document Preparation, Freight Service, Machine Learning, Shipping, Supply Chain Management",AiDock is an innovation-driven company reshaping the future of the supply-chain industry.,"Rehovot, HaMerkaz, Israel",https://www.crunchbase.com/organization/aidock,1300000.0,2020-03-01
N,Instarea,"Analytics, Big Data, Database, Developer APIs, Geospatial, GPU, Location Based Services, Mobile Advertising, SMS","Instarea Big Data Monetization & GPU / Telco data monetization for location intel, targeted ads and KYC / QikkDB GPU accelerated database","Bratislava, Bratislava, Slovakia (Slovak Republic)",https://www.crunchbase.com/organization/adastra-partnering,638949.0,2020-03-01
N,Moovaz,"Blockchain, Human Resources, Information Technology, Internet, Logistics",Moovaz is revolutionising the logistics industry by enabling simple and efficient moving through smart technology. ,"Singapore, Central Region, Singapore",https://www.crunchbase.com/organization/moovaz,1000000.0,2020-03-04
N,ALLSENSE Technology,"Enterprise, Industrial",ALLSENSE Technology is an industrial IoT solution provider.,"Minhang, Shanghai, China",https://www.crunchbase.com/organization/allsense-technology,2170800.0,2020-03-09
N,QikkDB - GPU accelerated database,"Big Data, Data Integration, Data Visualization, Database, Developer Tools, Enterprise Software, Geospatial, GPU, Information Technology",QikkDB is a GPU accelerated columnar database especially for geospatial applications,"Bratislava, Bratislava, Slovakia (Slovak Republic)",https://www.crunchbase.com/organization/qikkdb-gpu-accelerated-database,578855.0,2020-04-01
N,Breadfast,"Bakery, Food and Beverage, Logistics",Breadfast delivers fresh bread and breakfast items to customers' doorsteps every morning,"Cairo, Al Qahirah, Egypt",https://www.crunchbase.com/organization/breadfast,,2020-03-08
N,Funatix Club,"Fantasy Sports, Media and Entertainment, Online Games",Funatix is the exclusive owner of the official fantasy sports leagues of several countries.,"Be'er Sheva, HaDarom, Israel",https://www.crunchbase.com/organization/funatix-club,,2020-03-01
N,PursueCare,"Health Care, Medical",PursueCare is a technology-enabled health services startup,"Middletown, Connecticut, United States",https://www.crunchbase.com/organization/pursuecare,,2020-03-18
