Organization Name,Industries
Mercury,"Banking, Financial Services, FinTech"
AvantStay,"Hospitality, Tourism, Travel"
Neighborhood Goods,"E-Commerce, E-Commerce Platforms, Retail"
Iron Ox,"Agriculture, Green Building, GreenTech, Robotics, Software, Sustainability"
Riskpulse,"Big Data, Logistics, Risk Management, Supply Chain Management"
iziwork,"Big Data, Human Resources, Information Technology, Mobile Apps, Staffing Agency"
Cherre,"Data Integration, Market Research, Real Estate"
Htrip,Tourism
Luko,"Artificial Intelligence, Insurance, InsurTech"
MURAL,"Collaboration, Enterprise Software, Product Design, SaaS, Unified Communications"
Eavor,"Clean Energy, CleanTech, Renewable Energy"
reMarkable,"Consumer Electronics, Digital Media, Mobile Devices"
ADVANO,"Advanced Materials, Energy, Energy Storage, Manufacturing, Nanotechnology"
Lilac Solutions,"Advanced Materials, Chemical, Natural Resources"
Cannalysis,"Cannabis, Information Services, Information Technology"
Alfilo Brands,"Art, Consulting, Consumer Goods, Marketing, Retail"
Jolt,"Business Intelligence, EdTech, Education, Higher Education, Professional Networking"
Homeloop,Real Estate
Snackpass,"Apps, E-Commerce, Food and Beverage, Local, Mobile Apps, Social, Software"
CyCognito,"Cyber Security, Network Security"
CardioLogs,"Artificial Intelligence, Big Data, Health Care, Health Diagnostics, Machine Learning, Software"
Rhino,"Consumer, Insurance, Real Estate"
EMnify,"Cloud Computing, IaaS, Internet of Things, PaaS, SaaS"
Spatial,"Augmented Reality, Software, Virtual Reality"
Springboard,"E-Learning, EdTech, Education"
Neuron Mobility,"Automotive, Computer, Electronics, Mobile Apps, Virtual Reality"
Cuvva,"Auto Insurance, Finance, Insurance, Mobile Payments"
Kheiron,"Artificial Intelligence, Developer Platform, Health Care, Medical"
Codility,"Big Data, Consulting, Employment, Human Resources, Information Technology, Internet, Recruiting, SaaS, Skill Assessment, Software"
Huckleberry,"Insurance, InsurTech, Internet"
Naïo Technologies,"Agriculture, Farming, Robotics"
CoachHub,"Corporate Training, E-Learning, Education, Personal Development, SaaS, Training"
Stellar Cyber,"Cyber Security, Network Security"
InterviewBit,"E-Learning, Employment, Recruiting"
LinkSquares,"Artificial Intelligence, Consulting, Contact Management, Information Technology, Internet, Legal, Legal Tech, Machine Learning, Software"
Let’s Do This,"E-Commerce, Events, Marketplace, Sports"
RenoRun,"Building Material, Construction, Delivery Service, Retail Technology"
FIDEL API,"Developer APIs, FinTech"
Sweepr,"Computer, Electronics, Home Services, Information Technology, Internet of Things, Software"
Evisort,"Analytics, Artificial Intelligence, Document Management, Legal, Software, Text Analytics"
Pinteon Therapeutics,"Health Care, Medical, Therapeutics"
Netdata,"Enterprise Software, Information Technology, Internet of Things, IT Infrastructure, Software"
Tookitaki,"Compliance, Finance, FinTech, Machine Learning, Predictive Analytics"
7shifts,"Mobile Apps, Restaurants, Scheduling, Software"
Camino Financial,"Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses"
FarmWise,"Agriculture, Artificial Intelligence, Farming, Robotics, Software"
Hugging Face,"Artificial Intelligence, Computer, Machine Learning, Software"
75F,"Electronics, Energy, Energy Efficiency, Facility Management, Internet of Things, Property Management, Smart Building, Software"
Descript,"Audio, Music Venues"
Wayve,"Artificial Intelligence, Autonomous Vehicles, Computer, Electric Vehicle, Machine Learning, Software"
Epsagon,"Analytics, Cloud Infrastructure, Information Technology, SaaS, Software"
Duality Technologies,"Artificial Intelligence, Cyber Security, Software"
Twistle,"Enterprise Software, Health Care, Messaging, Mobile Apps, Service Industry, Software"
Huntress,"Cyber Security, Information Technology"
Cutover,"Information Technology, Project Management, Software"
ZenBusiness,"Business Development, Business Information Systems, Internet"
Aero,"Air Transportation, Leisure, Tourism, Travel"
AMP Robotics,"Artificial Intelligence, Environmental Engineering, Information Technology, Intelligent Systems, Machine Learning, Recycling, Robotics"
Baton Systems,"Financial Services, Information Technology"
HaptX,"Hardware, Human Computer Interaction, Motion Capture, Robotics, Virtual Reality"
Aurora Insight,"Information Services, Information Technology, Telecommunications"
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, STEM Education"
Torch Leadership Labs,"Corporate Training, Education, Human Resources, SaaS, Software, Training"
Emerge,"Augmented Reality, Consumer Electronics, Media and Entertainment, Telecommunications"
Gatsby,"Internet, Software"
Bravo Sierra,"Consumer Goods, Health Care, Manufacturing"
CalmCar Vision System,"Autonomous Vehicles, Computer Vision, Machine Learning"
Cohabs,"Communities, Real Estate"
Sokowatch,"Emerging Markets, Mobile, Sales"
Bumblebee Spaces,"Hardware, Machine Learning, Robotics, Smart Home, Software"
Dutchie,"Apps, Cannabis, Delivery, E-Commerce, Internet, Mobile Apps"
FieldIn,"Agriculture, AgTech, Farming, Information Technology, Internet of Things, Software"
Datacloak,"Cyber Security, Information Technology, Security"
Xiudan,Private Social Networking
QRails,"FinTech, Payments, Transaction Processing"
ISEE,"Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning"
Gorgias,"Artificial Intelligence, Browser Extensions, Computer, Customer Service, Information Technology, Software"
Immutable,Internet
Fuel Games,"Blockchain, PC Games, Video Games"
SteelEye,"Analytics, Financial Services"
Oxford VR,"Health Care, Psychology, Virtual Reality"
Stori Card,"Banking, Credit Cards, Financial Services, FinTech"
Anyline,"Document Management, Energy Management, Image Recognition, Industrial Automation"
Houwzer,"Consumer, FinTech, Real Estate"
Boost Insurance,"Financial Services, Insurance, InsurTech"
Metawave,"Artificial Intelligence, Automotive, Communications Infrastructure, Telecommunications, Wireless"
Banyan Security,"Cyber Security, Enterprise Software, Information Technology, Security, Software"
Senreve,"Fashion, Retail, Sales"
Myia Labs,"Artificial Intelligence, Health Care, Machine Learning"
Disperse.io,"Artificial Intelligence, Construction, Information Technology"
Voxpopme,"Analytics, Market Research, Video"
Paro,"Accounting, Finance, Financial Services"
Nines,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning"
Coralogix,"Analytics, Big Data, Enterprise Software, Information Technology, Machine Learning, SaaS, Software"
Loft Orbital,"Aerospace, Satellite Communication"
Unmind,"B2B, Employee Benefits, Enterprise Software, Health Care, mHealth"
Teraki,"Apps, Autonomous Vehicles, Information Technology"
Placer,"Analytics, Computer, Geospatial, Internet, Location Based Services, Retail, Retail Technology, Software"
Outlier.org,"E-Learning, Education, Internet"
Team Labs (Teampay),"FinTech, SaaS, Software"
TECHBOOZE CONSULTANCY SERVICES PVT. LTD.,"Business Development, Consulting"
FintechOS,"Artificial Intelligence, Financial Services, Information Technology, Venture Capital"
Alloy,"Financial Services, FinTech, Fraud Detection"
ProdPerfect,Software
Wheel,"Health Care, Recruiting"
Winnie,"Apps, Child Care, Children, Education, Marketplace, Mobile Apps, Parenting"
Cyberhaven,"Cloud Security, Cyber Security, Information Technology, Security"
Tianxianpei,"Communities, Consumer Goods, E-Commerce, Food and Beverage, Retail"
SimpliField,"Enterprise Software, Market Research, Mobile"
Shyft,"Internet, SaaS, Transportation, Video Chat"
Clipchamp,"Cloud Computing, Information Technology, Video, Video Editing"
Home HT,"Information Technology, Property Management, Real Estate"
Become,FinTech
Second Closet,"Commercial, Customer Service, Transportation, Warehousing"
Zenyum,"3D Printing, Health Care, Manufacturing, Medical"
Dray Alliance,"Logistics, Shipping, Supply Chain Management, Transportation"
Sensat,"Artificial Intelligence, Machine Learning, Software"
StoreHub,"Android, CRM, E-Commerce Platforms, Enterprise Software, iOS, Loyalty Programs, Point of Sale, Retail Technology, Small and Medium Businesses"
InDebted,"Debt Collections, Finance, Financial Services, FinTech"
Enveil,"Analytics, Cloud Data Services, Security"
Yulu,"Ride Sharing, Sharing Economy, Transportation"
Pecan,"Artificial Intelligence, Business Intelligence, Machine Learning, Predictive Analytics, Software"
GuRu,"Electronics, Information Technology, Product Design, Telecommunications, Wireless"
Incredible Health,"Health Care, Human Resources, Recruiting"
Perimeter 81,"Cloud Security, Cyber Security, Network Security, SaaS"
Q-CTRL,"Information Services, Information Technology, Quantum Computing, Software"
JULO,"Consumer Lending, Finance, Financial Services, Lending"
Perlego,"EBooks, EdTech, Education, Publishing, Subscription Service"
Anagram,"FinTech, Health Care, Insurance, Internet, Software"
Maple,"Health Care, Information Services, Information Technology"
Robin Healthcare,Health Care
BrainCheck,"Health Care, Health Diagnostics, Mobile Apps, Personal Health"
Siren,"Analytics, Big Data, Data Visualization, Intelligent Systems, Search Engine, Software"
Kangaroo,"Consumer Electronics, Mobile, Security"
Swivel,"Commercial Real Estate, Online Portals, Software"
Negotiatus,"B2B, Cloud Infrastructure, E-Commerce Platforms, Enterprise Software, Procurement, Software"
Katalyst,"Fitness, Health Care, Wellness"
Electronic Theatre,"Digital Entertainment, Digital Media, Media and Entertainment, Video Games"
Lily AI,"Artificial Intelligence, E-Commerce, Fashion, Women's"
Quill,"Computer, Messaging, Software"
CasperLabs,"Information Technology, Software"
Railsbank,"Banking, Finance, Financial Services, FinTech"
Rebound Technologies,"Energy, Environmental Engineering, Information Technology, Renewable Energy"
Dong Pinhui,"Food and Beverage, Internet"
Otis,Financial Services
Juvenile Get,"E-Learning, Education"
IOTAS,"Computer, Internet of Things, Software"
Airlift Technologies,Transportation
Deep Isolation,"Clean Energy, Environmental Engineering, Impact Investing, Nuclear, Renewable Energy, Risk Management"
Delphia,"Consumer Software, FinTech"
Astrocast,"Electronics, Telecommunications"
Fetch Package,"Delivery Service, E-Commerce, Logistics, Mobile, Real Estate"
Octave,"Fitness, Health Care, Personal Health, Wellness"
Styra,"Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Software"
Infimind,"Artificial Intelligence, Fashion, Retail"
dph168.com,"Big Data, Logistics, Supply Chain Management"
Juefx,"Artificial Intelligence, Automotive, Commercial"
Plantix,"AgTech, Apps, Artificial Intelligence, Image Recognition"
Reggora,Real Estate
Model 9,"Analytics, Cloud Storage, Data Integration, Data Storage, Enterprise Software"
Realtime Robotics,"Autonomous Vehicles, Robotics"
viisights,"Analytics, Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, Computer Vision, Homeland Security, Machine Learning, Public Safety, Video, Video Streaming"
Locale,"Hospitality, Hotel, Lifestyle, Real Estate"
New Vector,"Apps, Commercial, Communications Infrastructure, VoIP"
Brideside,"E-Commerce, Fashion, Online Portals, Wedding"
Imbed Biosciences,"Biometrics, Health Care"
Alice Technologies,"Construction, Innovation Management, Real Estate, Software"
Suplari,"Artificial Intelligence, Enterprise Software, Machine Learning"
Digital Risks,"Commercial Insurance, Cyber Security, Insurance, InsurTech"
Process Street,"Information Technology, Productivity Tools, Project Management, SaaS, Software"
WhereIsMyTransport,"Information Services, Information Technology, Software"
Chattermill,"Analytics, Artificial Intelligence, Machine Learning, Natural Language Processing, Software"
MotoRefi,"Automotive, Financial Services, FinTech, Lending"
Second Nature,"Fitness, Health Care, mHealth, Personal Development, Wellness"
Unioncrate,"Artificial Intelligence, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software, Supply Chain Management"
Papa,"Elderly, Health Care, Transportation"
Fiddler Labs,"Artificial Intelligence, Big Data, Machine Learning"
Ping,"Analytics, Artificial Intelligence, Enterprise Software, Legal, Machine Learning, SaaS, Software"
liwwa,"Crowdfunding, Finance, Financial Services, FinTech"
Butler Hospitality,"Developer Platform, Hospitality, Professional Services"
Adroit Worldwide Media,"Digital Media, Media and Entertainment"
AppOmni,"Cloud Management, Cloud Security, Cyber Security, SaaS, Software"
PetPlate,"Consumer, Delivery Service, Food Delivery, Pet, Subscription Service"
Caper,"Artificial Intelligence, Computer, Retail, Shopping, Software"
HYPR,"Advertising, Internet, Public Relations"
Yanker,"Consumer, Consumer Goods, Internet"
Unito,"Computer, Internet, Productivity Tools, SaaS, Software"
Matera,"Accounting, Construction, Real Estate"
InsightRX,"Health Care, mHealth, Predictive Analytics"
FeetMe,"Clinical Trials, Fitness, Health Care, Medical, Real Time, Therapeutics, Wearables, Wellness"
Jumpstart,"Artificial Intelligence, College Recruiting, Machine Learning, Professional Networking"
Neighbor,"Information Technology, Internet, Logistics, Peer to Peer, Real Estate, Rental, Sharing Economy"
Vic.ai,"Accounting, Artificial Intelligence, Financial Services, Information Services"
Kapwing,"Content Creators, Media and Entertainment, Social Media, Social Media Marketing, Video, Video Editing"
Atom Finance,"Education, Financial Services"
Quorso,"Application Performance Management, Big Data, Business Intelligence, Machine Learning, Management Information Systems, Retail Technology, SaaS, Software"
Daisy Intelligence,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, SaaS, Software"
AudioTelligence,"Audio, Software"
Ordway,"Billing, Computer, Finance, Payments, SaaS, Software"
Lightning Labs,"Computer, Software"
OLIPOP,"Food and Beverage, Health Care"
Modus,"Commercial Real Estate, Property Management, Real Estate, Security"
FairMoney,"Financial Services, FinTech, Internet, Lending, Mobile"
MarginEdge,"Food and Beverage, Software"
Okadoc,"Health Care, Information Technology, Internet, Software"
Summer​,Financial Services
SWAT,"Last Mile Transportation, Public Transportation, Ride Sharing, Transportation"
Young Alfred,"Financial Services, FinTech, Insurance"
Nicoya Lifesciences,"Developer Platform, Nanotechnology, Sensor"
Yumpingo,"Analytics, Big Data, Business Intelligence, Information Technology, Mobile Payments, Restaurants"
Park+,"Apps, Parking"
Allume,"E-Commerce, Fashion, Retail, Shopping"
Firefly Health,Health Care
Shogun,"E-Commerce, SaaS, Web Design, Web Development"
Yumi,"Baby, Food and Beverage, Organic Food"
Own Up,"Consumer Lending, Financial Services, FinTech, Lead Generation, Real Estate"
GitGuardian,"Cloud Security, Computer, Cyber Security, Software"
Dura Software,Software
Nowi,"Consumer Electronics, Energy, Energy Management, Internet of Things, Semiconductor, Sensor"
Inky,"Artificial Intelligence, Cyber Security, Email, SaaS"
Legalpad,"Information Technology, Legal, Legal Tech"
Alpaca,"Developer APIs, Financial Services, FinTech, Trading Platform"
Headout,"Marketplace, Mobile, Travel"
Oaky,Information Technology
INDUS.AI,"Artificial Intelligence, Construction, Machine Learning, SaaS"
Rovco,"3D Technology, Autonomous Vehicles, Drones, Marine Technology, Renewable Energy, Robotics"
Revl,"Artificial Intelligence, Consumer Electronics, Hardware, Machine Learning, Motion Capture, Robotics, Software, Video, Wearables"
Plutoshift,"Artificial Intelligence, SaaS"
Hasura,"Cloud Infrastructure, Developer APIs, Open Source"
DEV,"Association, Communities, Computer, Publishing, Software"
WiPay,"E-Commerce, Mobile"
Solaborate,"Information Technology, Private Social Networking, Social Media, Software"
AdmitHub,"Artificial Intelligence, Education, Information Services, Virtual Assistant"
Membrion,Renewable Energy
Unearth,"Construction, Data Storage, Drones, Geospatial, Internet of Things, Software"
WhiteHat Jr.,Education
Mantl,"Banking, Finance, Financial Services"
Majelan,"Audio, Digital Entertainment, Music, Podcast, Software"
Forest Admin,"Enterprise Software, SaaS, Software, Web Design, Web Development"
Portify,"Finance, FinTech, Information Technology, Internet"
Stuff,Consumer Applications
The Org,"Communities, Information Technology, Internet, Software"
Containous,"Data Center, Infrastructure, Software"
Koio,"Green Consumer Goods, Lifestyle, Retail, Shopping"
Shippit,"Delivery, E-Commerce, Logistics, Shipping, Software"
Pando,"Enterprise Software, Logistics, Supply Chain Management"
NeuroFlow,"Health Care, Medical, Wellness"
Boldking,"Consumer Goods, E-Commerce, Online Portals"
misterb&b,"Leisure, LGBT, Travel"
CUUP,Fashion
Altitude Networks,"Internet, Security, Software"
UnitQ,"Quality Assurance, Software"
Fairmarkit,"Enterprise Software, SaaS, Software"
Boulevard,"Customer Service, E-Commerce, Internet, Management Consulting"
Reelgood,"Film, Internet, iOS, Software, TV, Video Streaming"
Idelic,"Enterprise Software, Software, Transportation, Travel"
Replica,"Computer, Software, Transportation"
Active Navigation,"Privacy, Software"
Atomberg Technology,"Consumer Electronics, Energy Efficiency, Internet of Things"
Datree,"Cloud Computing, Developer Tools, Internet"
Piickme,"Ride Sharing, Transportation"
Baiwancang,"B2B, Consumer Goods, E-Commerce, Retail"
justInCase,"Insurance, InsurTech"
ProcSea,"Food and Beverage, Food Processing, Seafood, Supply Chain Management"
SkyWatch,"Big Data, Cloud Computing, Information Technology"
Mylo,"Banking, Finance, Financial Services, FinTech"
Red Sift,"Artificial Intelligence, Big Data, Cyber Security, Email, PaaS, SaaS"
Nexkey,"Cloud Computing, Hardware, Information Technology, Internet of Things, Mobile, Mobile Apps, SaaS, Security, Smart Building, Software"
Litmus Automation,"Industrial Automation, Internet of Things, Manufacturing, Oil and Gas, SaaS"
RippleMatch,"Consulting, Delivery, Education, Employment, Enterprise Software, Human Resources, Recruiting, Software"
FOSSA,"Compliance, Developer Tools, Open Source, Software"
Two Hat Security,"Analytics, Big Data, Communities, Developer Tools, Machine Learning, Natural Language Processing, SaaS, Security, Spam Filtering"
Liquid Death,"Health Care, Manufacturing, Product Design"
Leap,"Energy, Renewable Energy, Solar"
YCLIENTS,"Beauty, CRM, Health Care, Loyalty Programs, SaaS, Scheduling, Small and Medium Businesses, Software, Warehousing, Wellness"
Workmate,"Employment, Internet, Social Recruiting"
TravelFlan,"Analytics, Artificial Intelligence, Big Data, Information Technology, Machine Learning, Supply Chain Management, Travel"
Esper,"Application Performance Management, Apps, Embedded Software, Enterprise Applications, Enterprise Software, Information Technology, Internet, Software"
ADAY,"E-Commerce, Fashion, Internet"
Aiera,"Artificial Intelligence, Big Data, Finance, Financial Services, FinTech, Machine Learning"
Shubh Loans,"Apps, Financial Services, Information Technology, Lending"
Loop,"E-Commerce, E-Commerce Platforms, Internet"
The Vetreska Pet Lifestyle Company,"Fashion, Lifestyle, Pet"
Agrosmart,"Agriculture, AgTech, Farming, Internet of Things"
1upHealth,"Health Care, Hospital"
Fyle,"Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, SaaS"
Key Way Group,Financial Services
Shujinko,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, SaaS, Software"
Ribbon Health,"Developer APIs, Health Care, mHealth, Predictive Analytics"
Pikme,"Apps, Information Technology, Software"
TrueHome,Real Estate
Datapps,Enterprise
Gradeup,"Education, Mobile, Online Portals"
Applica,"Artificial Intelligence, Information Services, Intelligent Systems, Machine Learning, Natural Language Processing"
Coconut Software,"Scheduling, Software, Task Management"
Lanes & PLanes GmbH,"Software, Travel"
Cultivate,"Artificial Intelligence, Employment, Human Resources"
YOLO,"Apps, Software"
Brace,"Computer, Software"
Modern Treasury,"Banking, Finance, FinTech, Payments"
Cobli,"Automotive, Fleet Management, Information Technology, Logistics, Software"
IOTech,"Architecture, Information Technology, Network Security, Security"
Yesmro,E-Commerce
Mintbao,"Financial Services, Insurance, InsurTech"
HYBRICO Energy Technologies Ltd.,"Clean Energy, CleanTech, Energy, Energy Efficiency, IaaS, Renewable Energy, Telecommunications"
Toosla,"Consumer, Rental"
Mavenoid,"Artificial Intelligence, Customer Service, Industrial Automation, Machine Learning, Software, Technical Support"
Ayenda Rooms,"Hospitality, Hotel, Travel"
Sarwa.co,"FinTech, Wealth Management"
ABAKA Holdings,"Artificial Intelligence, Finance, Financial Services, FinTech, Information Technology, Retirement, SaaS, Software"
Team Labs,"Collaboration, Developer Tools, Meeting Software, Messaging, Productivity Tools, Project Management, SaaS, Software"
OpsCompass,"Enterprise Software, Information Technology, Software"
Kaskada,"Analytics, Big Data, Data Visualization, Machine Learning, Software"
RootWave,"Agriculture, AgTech, Information Technology"
POL,"Employment, Information Technology, Recruiting"
ACINQ,"Bitcoin, Blockchain, Information Technology"
Cuenca,"Banking, Financial Services"
Waycare,"Artificial Intelligence, Autonomous Vehicles, Government, GovTech, Intelligent Systems, Machine Learning"
UrbanPiper,"Information Services, Information Technology, Software"
Shipamax,"Data Center Automation, Information Technology, iOS, Messaging, Real Time, Shipping, Software, Supply Chain Management"
RYDE Technologies,"Internet, Mobile Apps, Software, Transportation"
GenomSys,Genetics
Stoplight,"Developer APIs, Developer Platform, Online Portals"
Instagrid,"Electronics, Manufacturing, Software"
AYLIEN,"Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing, Text Analytics"
Spoke Phone,"Mobile, Mobile Apps, Software, Telecommunications, VoIP"
Copper,Financial Services
Caspar Health,"Health Care, Home Health Care, mHealth, Rehabilitation"
Zakaz.ua,"Delivery, E-Commerce, Retail"
AdQuick,"Advertising, Advertising Platforms, E-Commerce, Marketing"
Cashforce,"Finance, Financial Services, FinTech, Software"
Spirable,"SaaS, Video"
Popsa,"Artificial Intelligence, E-Commerce, Machine Learning, Printing, Retail Technology"
Kristal.AI,"Artificial Intelligence, Asset Management, Financial Services, Trading Platform"
Laudio,Health Care
Uncharted,"Information Technology, Insurance"
AdviNOW Medical,"Artificial Intelligence, Augmented Reality, Health Care, Information Technology, Software"
Solytic,"Analytics, Clean Energy, CleanTech, Marketplace, Renewable Energy, Solar"
Scienaptic Systems,"Information Services, Information Technology"
2ULaundry,"E-Commerce, Laundry and Dry-cleaning, Logistics, Mobile"
TypingDNA,"Artificial Intelligence, Biometrics, Cyber Security, Developer APIs, FinTech, Fraud Detection, Identity Management, Software"
SARVA,"Communities, Fitness, Health Care, Lifestyle, Wellness"
Seez,"Apps, Artificial Intelligence, E-Commerce, Image Recognition, Internet, Machine Learning, Mobile, Search Engine"
RunSafe Security,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security"
Upvest,"Blockchain, Cryptocurrency, Information Services, Information Technology"
T Port Inc.,"Cloud Management, CMS, Hospitality, Hotel, Travel, Travel Accommodations"
Enapter,"Energy, Oil and Gas, Renewable Energy, Software"
The Renewal Workshop,"Fashion, Retail"
Flowbox,"B2B, Film, Software, Video"
Pavegen,"Big Data, Energy, Renewable Energy"
Lenses.io,"Big Data, Cloud Infrastructure, Data Integration, Enterprise Software, Open Source, Software"
Onco.com,Health Care
Risalto Health,"Health Care, Health Diagnostics"
CapCar,"Automotive, Autonomous Vehicles, Car Sharing, E-Commerce, Logistics, Recreational Vehicles"
Osano,"B2B, Privacy, SaaS"
Veo,"Consumer Electronics, Sports, Video"
Lavanda,"Property Management, Real Estate, Rental Property, SaaS, Sharing Economy, Software"
Maven Machines,"Electronics, Fleet Management, Sensor, Transportation, Wireless"
EquityBee,Financial Services
Okapi,"Artificial Intelligence, Asset Management, Commercial Real Estate, Property Management, Real Estate, Residential"
Iotic,"Apps, Construction, Enterprise Software, Information Technology, Internet, Internet of Things, Productivity Tools"
Flowcast,"Artificial Intelligence, Big Data, Financial Services, FinTech, Machine Learning"
TetraScience,"Cloud Computing, Enterprise Software, Internet of Things, Life Science, Software"
Apiax,"Compliance, FinTech, Information Services, Information Technology, Legal, Risk Management"
The Financial Gym,"Financial Services, Fitness, Professional Services, Sports"
Trust & Will,"FinTech, Internet, Legal"
CYFIRMA,"Artificial Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Security"
Docket,"Document Management, Document Preparation, Legal, Legal Tech"
Welcome Technologies,"Artificial Intelligence, Education, Financial Services, FinTech, Market Research, Marketing, Social Entrepreneurship"
Neurable,"Augmented Reality, Human Computer Interaction, Virtual Reality"
Rafay Systems,"Apps, Developer Platform, Information Technology, Internet, PaaS, SaaS, Software"
