Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date
Hungry Harvest,https://www.crunchbase.com/organization/hungry-harvest,"Food Delivery, Organic, Organic Food","Baltimore, Maryland, United States",Hungry Harvest is a food and beverages company that delivers surplus fruits and vegetables to their subscribers’ homes every week.,7775000,USD,7775000,2020-03-13
Coursedog,https://www.crunchbase.com/organization/coursedog,"Business Information Systems, EdTech, Higher Education, Project Management, Software","New York, New York, United States",Coursedog is an internet company that provides curriculum and schedule planning solutions for Higher Education.,5700000,USD,5700000,2020-03-09
PlanRadar,https://www.crunchbase.com/organization/defectradar,"Android, Architecture, Building Maintenance, Collaboration, Construction, iOS, Real Estate, Software, Task Management","Vienna, Wien, Austria",PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,31200000,EUR,35201312,2020-03-06
XYZ Reality,https://www.crunchbase.com/organization/xyz-reality,"Augmented Reality, Computer, Construction, Hardware","London, England, United Kingdom",XYZ Reality is disrupting the Construction Industry with a unique Augmented Reality solution able to reduce project costs by up to 20%,9157425,USD,9157425,2020-03-02
OpsCompass,https://www.crunchbase.com/organization/opscompass,"Enterprise Software, Information Technology, Software","Omaha, Nebraska, United States",OpsCompass is a SaaS-based provider of enterprise software.,9780000,USD,9780000,2020-03-03
Quit Genius,https://www.crunchbase.com/organization/quit-genius-87bd,"Fitness, Health Care, mHealth, Personal Health, Therapeutics, Wellness","San Francisco, California, United States",Quit Genius is a health tech startup that offers a digital behavior change program to help people quit their addictions.,13600000,USD,13600000,2020-03-18
Ride Report,https://www.crunchbase.com/organization/ride-report,"Information Technology, Transportation","Portland, Oregon, United States",Ride Report is a solution for cities to integrate new forms of micromobility,13400000,USD,13400000,2020-03-12
b.well Connected Health,https://www.crunchbase.com/organization/b-well,"Apps, Electronic Health Record (EHR), Health Care, Health Insurance, Personal Health, Predictive Analytics","Baltimore, Maryland, United States","b.well Connected Health provides an integrated solution for consumer engagement, holistic health management, and cost containment.",26685000,USD,26685000,2020-03-11
RunSafe Security,https://www.crunchbase.com/organization/runsafe-security-inc,"Cloud Security, Cyber Security, Fleet Management, Real Time, Security","Mclean, Virginia, United States",RunSafe Security is the pioneer of a unique cyberhardening technology for vulnerable embedded systems and devices.,12200000,USD,12200000,2020-03-05
TrueHome,https://www.crunchbase.com/organization/truehomemx,Real Estate,"Mexico City, Distrito Federal, Mexico",TrueHome is a Mexican real estate company that aims to improve the real estate services in the country.,10100000,USD,10100000,2020-03-04
Chqbook,https://www.crunchbase.com/organization/chqbook,"Finance, Financial Services, FinTech","Delhi, Delhi, India","Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",5000000,USD,5000000,2020-03-02
Checkfront,https://www.crunchbase.com/organization/checkfront,"Cloud Computing, Hospitality, Internet, Mobile, SaaS, Software, Tourism, Travel","Victoria, British Columbia, Canada","Checkfront offers online booking services for tours and activities, rentals, and accommodations.",10575000,CAD,7777342,2020-03-09
ZunRoof,https://www.crunchbase.com/organization/zunroof,"Clean Energy, CleanTech, Energy, Environmental Consulting, Renewable Energy, Solar","Gurgaon, Haryana, India",ZunRoof is a home-tech startup bringing smart and clean energy for solar rooftop systems.,4669234,USD,4669234,2020-03-16
Welcome Technologies,https://www.crunchbase.com/organization/welcometechnologies,"Education, Financial Services, FinTech, Market Research, Marketing, Social Entrepreneurship","Los Angeles, California, United States","We build technology that's powering immigrant success with services across Finance, Education, Healthcare and more.",8000000,USD,8000000,2020-03-03
Leaf Logistics,https://www.crunchbase.com/organization/leaf-logistics,"Logistics, Supply Chain Management","New York, New York, United States",Leaf Logistics brings financial market efficiency to the transportation marketplace.,21500000,USD,21500000,2020-03-11
Pixpay,https://www.crunchbase.com/organization/pixpay,"FinTech, Mobile Payments, Payments","Paris, Ile-de-France, France",Pixpay provides mobile banking for teens.,11100000,EUR,12455507,2020-03-12
AKUR8,https://www.crunchbase.com/organization/akur8,"Financial Services, FinTech, Information Technology, Insurance, InsurTech, SaaS","Paris, Ile-de-France, France",AKUR8 is a SaaS Insurtech specialized in Insurance pricing optimization with Transparent AI.,10200000,EUR,11556228,2020-03-12
Lingumi,https://www.crunchbase.com/organization/lingumi,"Apps, E-Learning, EdTech, Education","London, England, United Kingdom",Lingumi is an edtech startup that teaches English to kids aged 2 to 6 using an app and a range of physical products.,5700000,GBP,7271903,2020-03-13
Fantuan,https://www.crunchbase.com/organization/just-order,"E-Commerce, Food Delivery, Internet, Restaurants","Burnaby, British Columbia, Canada","Fantuan provides food delivery, reviews, e-commerce and advertising, and marketing services for local communities.",15060000,USD,15060000,2020-03-06
Recount Media,https://www.crunchbase.com/organization/recount-media,"Broadcasting, Media and Entertainment","New York, New York, United States",Recount Media is a fast-growing startup focused on high quality journalism and short form video,13000000,USD,13000000,2020-03-10
Apsiyon,https://www.crunchbase.com/organization/apsiyon,"Accounting, Building Maintenance, CRM, Debt Collections, Energy Efficiency, Facility Management, Green Building, Payments, Property Management, Smart Building","Istanbul, Istanbul, Turkey","All a property manager needs on one platform: SaaS, Mobile App, Electronic Payment, CRM, Proptech, Inventory & Maintenance",10000000,USD,10000000,2020-03-13
Nepris,https://www.crunchbase.com/organization/nepris,"Charter Schools, EdTech, Education, Internet","Plano, Texas, United States",Nepris connects educators and learners with a network of industry professionals.,7000000,USD,7000000,2020-03-11
Rivet,https://www.crunchbase.com/organization/rivethealth,"Health Care, Information Technology, Medical","Salt Lake City, Utah, United States",Healthcare SaaS,8250000,USD,8250000,2020-03-10
theklicker,https://www.crunchbase.com/organization/theklicker,"E-Commerce, Information Services, Internet, Online Portals","Phoenix, Arizona, United States",theklicker is an online tool that connects people to e-commerce in one place.,3800000,USD,3800000,2020-03-03
Landing.jobs,https://www.crunchbase.com/organization/landingjobs,"Career Planning, E-Commerce, Recruiting, Social Recruiting","Lisbon, Lisboa, Portugal","We’re a candidate-driven tech jobs marketplace, matching the best tech professionals to the best companies out there.",2750000,EUR,3066951,2020-03-05
Bolt Mobility,https://www.crunchbase.com/organization/bolt-mobility-0122,"Information Services, Information Technology","Miami Beach, Florida, United States","Bolt's mission is to redesign city mobility around the world with smart, safe and sustainable transportation solutions.",30000000,USD,30000000,2020-03-03
UnitQ,https://www.crunchbase.com/organization/unitq,"Quality Assurance, Software","San Mateo, California, United States",UnitQ is the real-time solution for product and engineering teams to stay on top of product quality across all platforms.,11000000,USD,11000000,2020-03-03
EngageRocket,https://www.crunchbase.com/organization/engagerocket,"Cloud Computing, Human Resources, Information Services, Information Technology, Software","Singapore, Central Region, Singapore",EngageRocket is a cloud-based platform that helps leaders and organizations in decision making using real-time data.,3174135,USD,3174135,2020-03-18
DisruptOPS,https://www.crunchbase.com/organization/disruptops,"Cloud Management, Cyber Security, Information Technology, Robotics, Software","Kansas City, Missouri, United States","DisruptOps is building a platform to bring unprecedented insight, control, and expertise into your cloud environment.",11500000,USD,11500000,2020-03-10
Axis Security,https://www.crunchbase.com/organization/axis-security,"Information Technology, Network Security","San Mateo, California, United States",Axis Security is a private application access company.,17000000,USD,17000000,2020-03-17
Fuzu,https://www.crunchbase.com/organization/fuzu,"Career Planning, Consulting","Helsinki, Southern Finland, Finland",The next paradigm in career development.,6620995,USD,6620995,2020-03-10
Attila,https://www.crunchbase.com/organization/attila-security-inc,"Information Services, Information Technology","Fulton, Maryland, United States","Attila provides visibility, control, and threat defense across physical, virtual, and cloud applications.",3250000,USD,3250000,2020-03-16
URBANTZ,https://www.crunchbase.com/organization/urbantz,"Delivery, Information Technology, Logistics, SaaS, Software","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Urbantz is a delivery management platform to optimize and control first and last mile operations.,9700000,EUR,11131090,2020-03-12
PayLead,https://www.crunchbase.com/organization/paylead,"Big Data, Billing, Loyalty Programs, Marketing, Payments","Bordeaux, Aquitaine, France",Paylead uses transaction data to get to know the customer better and to recommend personalized cashback offers based on purchasing behavior.,6671429,EUR,7566079,2020-03-05
Pocket Cocktails,https://www.crunchbase.com/organization/pocket-cocktails-88b1,"Food and Beverage, Food Delivery, Wine And Spirits","Vienna, Wien, Austria",Pocket Cocktails makes takeaway cocktails for all generations and every dress code.,100000,EUR,110805,2020-03-01
Empower,https://www.crunchbase.com/organization/empower-2,"Banking, Finance, FinTech, Personal Finance","San Francisco, California, United States",Empower is Building the best mobile-banking experience in the world.,24500000,USD,24500000,2020-03-05
AudioTelligence,https://www.crunchbase.com/organization/audiotelligence,"Audio, Software","Cambridge, Cambridgeshire, United Kingdom",AudioTelligence delivers real-time audio processing technology for the enhancement of automatic speech recognition (ASR) systems.,12507990,USD,12507990,2020-03-02
NorthOne,https://www.crunchbase.com/organization/northone,"Banking, Financial Services, FinTech","New York, New York, United States",A better bank account for your business.,23291570,USD,23291570,2020-03-10
"Kaleidoscope Group, PBC",https://www.crunchbase.com/organization/kaleidoscope-group-pbc,Software,"Minneapolis, Minnesota, United States","Kaleidoscope designs, administers and hosts branded scholarship and grant programs on a cloud based marketplace.",5950000,USD,5950000,2020-03-11
Reniac,https://www.crunchbase.com/organization/reniac,"Analytics, Big Data, Software","San Jose, California, United States","Reniac is a group of passionate entrepreneurs with data, software and systems experience from companies.",1528000,USD,1528000,2020-03-10
Pitstop,https://www.crunchbase.com/organization/pitstop-2,"Automotive, Search Engine, Service Industry","Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,5002517,USD,5002517,2020-03-16
Move This World,https://www.crunchbase.com/organization/move-this-world,"E-Learning, EdTech, Education, Wellness","New York, New York, United States",Move This World equips individuals with video tools to strengthen their emotional wellbeing.,2750000,USD,2750000,2020-03-05
Payslip,https://www.crunchbase.com/organization/payslip,"Information Services, Information Technology, Software","Mayo, Mayo, Ireland",A Global Payroll Software Solution Provider Company .,3700000,EUR,4252199,2020-03-12
Membrion,https://www.crunchbase.com/organization/membrion,Renewable Energy,"Seattle, Washington, United States","Membrion is a manufacturer of ultra-low cost, high performance ion exchange membranes.",11383000,USD,11383000,2020-03-04
Outernets,https://www.crunchbase.com/organization/outernets,"Ad Targeting, Advertising Platforms, Marketing Automation, Retail Technology","New York, New York, United States",Outernets transforming windows into interactive digital displays,2500000,USD,2500000,2020-03-02
Energiency,https://www.crunchbase.com/organization/energiency,"Industrial Engineering, SaaS, Service Industry","Rennes, Bretagne, France",Energiency is SaaS platform to assess and manage energy performance industrial environment.,7200000,EUR,7987994,2020-03-10
MobieTrain,https://www.crunchbase.com/organization/mobietrain,"E-Learning, Education, Software","Antwerpen, Antwerpen, Belgium",MobieTrain is designed to meet the most ambitious learning needs of businesses today. ,2800000,EUR,3161366,2020-03-12
Billon Group,https://www.crunchbase.com/organization/billon-group,"Blockchain, Financial Services, FinTech, Information Technology, Software","London, England, United Kingdom","Billon Group is an interoperable, enterprise grade software platform.",22239575,USD,22239575,2020-03-19
Smartcoin,https://www.crunchbase.com/organization/smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics","Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,9000000,USD,9000000,2020-03-17
hoolah,https://www.crunchbase.com/organization/hoolah,FinTech,"Singapore, Central Region, Singapore","hoolah provides interest-free installments, helping you get the things you want and need",,,,2020-03-05
Demand Side Instruments,https://www.crunchbase.com/organization/demand-side-instruments,"Agriculture, AgTech, Energy, Information Technology, Renewable Energy, Wireless","Caen, Basse-Normandie, France","Demand Side Instruments, they are aware of the finiteness of natural resources around the world.",4200000,EUR,4898402,2020-03-10
AiDock,https://www.crunchbase.com/organization/aidock,"Artificial Intelligence, Document Management, Document Preparation, Freight Service, Machine Learning, Shipping, Supply Chain Management","Rehovot, HaMerkaz, Israel",AiDock is an innovation-driven company reshaping the future of the supply-chain industry.,1300000,USD,1300000,2020-03-01
Instarea,https://www.crunchbase.com/organization/adastra-partnering,"Analytics, Big Data, Database, Developer APIs, Geospatial, GPU, Location Based Services, Mobile Advertising, SMS","Bratislava, Bratislava, Slovakia (Slovak Republic)","Instarea Big Data Monetization & GPU / Telco data monetization for location intel, targeted ads and KYC / QikkDB GPU accelerated database",500000,EUR,638949,2020-03-01
Moovaz,https://www.crunchbase.com/organization/moovaz,"Blockchain, Human Resources, Information Technology, Internet, Logistics","Singapore, Central Region, Singapore",Moovaz is revolutionising the logistics industry by enabling simple and efficient moving through smart technology. ,1000000,USD,1000000,2020-03-04
ALLSENSE Technology,https://www.crunchbase.com/organization/allsense-technology,"Enterprise, Industrial","Minhang, Shanghai, China",ALLSENSE Technology is an industrial IoT solution provider.,2170800,USD,2170800,2020-03-09
QikkDB - GPU accelerated database,https://www.crunchbase.com/organization/qikkdb-gpu-accelerated-database,"Big Data, Data Integration, Data Visualization, Database, Developer Tools, Enterprise Software, Geospatial, GPU, Information Technology","Bratislava, Bratislava, Slovakia (Slovak Republic)",QikkDB is a GPU accelerated columnar database especially for geospatial applications,500000,EUR,578855,2020-04-01
Breadfast,https://www.crunchbase.com/organization/breadfast,"Bakery, Food and Beverage, Logistics","Cairo, Al Qahirah, Egypt",Breadfast delivers fresh bread and breakfast items to customers' doorsteps every morning,,,,2020-03-08
Funatix Club,https://www.crunchbase.com/organization/funatix-club,"Fantasy Sports, Media and Entertainment, Online Games","Be'er Sheva, HaDarom, Israel",Funatix is the exclusive owner of the official fantasy sports leagues of several countries.,,,,2020-03-01
PursueCare,https://www.crunchbase.com/organization/pursuecare,"Health Care, Medical","Middletown, Connecticut, United States",PursueCare is a technology-enabled health services startup,,,,2020-03-18
