Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Classifier
Music Rewards - FIX,https://www.crunchbase.com/organization/fan-integrated-experiences,"Apps, Music","Toronto, Ontario, Canada","App, Fans, Music Tech, mobile app, SaaS",1450000,USD,1450000,6/1/19,N
Heyhoods,https://www.crunchbase.com/organization/heyhoods,"Apps, Communities, Location Based Services","Barcelona, Catalonia, Spain",Heyhoods is an app that enables a global collaborative community created to help each other when in trouble nearby,120000,EUR,140022,6/1/19,N
Owlin,https://www.crunchbase.com/organization/owlin,"Analytics, Artificial Intelligence, Big Data, FinTech, Machine Learning, Natural Language Processing","Amsterdam, Noord-Holland, The Netherlands",Owlin is an ambitious technology company developing real-time data analysis and cutting edge.,3750000,USD,3750000,6/3/19,N
Supahands,https://www.crunchbase.com/organization/supahands,"Artificial Intelligence, Computer Vision, Crowdsourcing, Data Mining, Enterprise Software, Image Recognition","Kuala Lumpur, Kuala Lumpur, Malaysia",Supahands provides training data for Machine Learning and Artificial Intelligence using proprietary technology and a crowdsourced workforce.,400000,USD,400000,6/3/19,N
Spacely,https://www.crunchbase.com/organization/spacely,"Content, Software, Virtual Reality","Tokyo, Tokyo, Japan","A cloud software that allows you to easily create, edit and manage VR web contents.",500000000,JPY,4644293,6/3/19,N
Synfioo GmbH,https://www.crunchbase.com/organization/synfioo-gmbh,"Logistics, Real Time, Software, Supply Chain Management, Transportation","Potsdam, Brandenburg, Germany",Synfioo offers an innovative software platform for process-ETA calculation and real-time multimodal transportation monitoring.,2500000,EUR,2811623,6/3/19,N
CarBuckets.com,https://www.crunchbase.com/organization/carbuckets-com,"E-Commerce, Software","Miami, Florida, United States",CarBuckets is a SaaS marketplace that leverages economies of scale most of the pain points associated with the car-buying process .,1760000,USD,1760000,6/3/19,N
AnyRoad,https://www.crunchbase.com/organization/anyroad,"Big Data, Enterprise Software, Information Technology, Internet, Marketing, SaaS, Software","San Francisco, California, United States","AnyRoad is an ERM platform that helps companies create brand loyalty, change consumer behavior, and understand their brand associations.",9200000,USD,9200000,6/4/19,N
Liveoak Technologies,https://www.crunchbase.com/organization/liveoak-technologies,"Banking, Collaboration, Digital Signage, Financial Services, Identity Management, Insurance, Real Time, Retirement, Wealth Management","Austin, Texas, United States","Liveoak is a virtual customer engagement platform that enables you to connect, engage and complete work with customers in a seamless way.",13587020,USD,13587020,6/4/19,N
Georges.tech,https://www.crunchbase.com/organization/georges-tech,"Accounting, Artificial Intelligence, FinTech, Software","Paris, Ile-de-France, France",Georges.tech offers an end-to-end  and advanced AI-powered accounting software for freelancers and professionals.,11000000,EUR,12495041,6/4/19,N
MCaffeine,https://www.crunchbase.com/organization/mcaffeine,"Beauty, Consumer, Consumer Goods, E-Commerce, Fashion, Health Care, Lifestyle","Mumbai, Maharashtra, India",MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2787476,USD,2787476,6/4/19,N
GuardKnox,https://www.crunchbase.com/organization/guardknox,"Automotive, Cyber Security, Hardware, Software","Ramla, HaMerkaz, Israel",GuardKnox is a provider of comprehensive hardware and software cyber-secure high-performance platform for the automotive industry.,24000000,USD,24000000,6/4/19,N
Getsafe,https://www.crunchbase.com/organization/safe,"Insurance, InsurTech, Mobile Apps","Heidelberg, Baden-Wurttemberg, Germany",Getsafe is a mobile first insurance company for the digital age.,22890000,USD,22890000,6/5/19,N
"Shenzhen Lochn Optics Technology Co.,Ltd",https://www.crunchbase.com/organization/shenzhen-lochn-optics-technology-co-ltd,"Augmented Reality, Consumer Electronics, Manufacturing, Product Design, Virtual Reality, Wearables","Shenzhen, Guangdong, China","Design and manufacturing of Waveguide, freeform prism optical engines for augmented reality.",4361035,USD,4361035,6/5/19,N
Outstanding Foods,https://www.crunchbase.com/organization/outstanding-foods,"Consumer Goods, Food and Beverage, Snack Food","Venice, California, United States","Oustanding Foods is a plant-based food company that is full of flavor, and free of guilt.",,,,6/5/19,N
WorkRamp,https://www.crunchbase.com/organization/workramp,"Human Resources, Internet, Knowledge Management, Sales, Sales Automation, Software, Training","San Francisco, California, United States",WorkRamp is the leading end-to-end training platform for educating employees and customers at scale.,10200000,USD,10200000,6/6/19,N
Voatz,https://www.crunchbase.com/organization/voatz,"Blockchain, Cyber Security, Government, Mobile, Mobile Apps, Politics","Boston, Massachusetts, United States","Voatz is a mobile election voting platform, secured via smart biometrics, real time ID verification, and the blockchain for irrefutability.",9270000,USD,9270000,6/6/19,Y
Step,https://www.crunchbase.com/organization/step-c04b,"Finance, Financial Services, FinTech","Palo Alto, California, United States",Step is a financial services company that builds mobile-based banking for teenagers.,26300000,USD,26300000,6/6/19,N
Zyper,https://www.crunchbase.com/organization/zyper,"Advertising Platforms, Brand Marketing, Computer Vision, Loyalty Programs, Software","San Francisco, California, United States",Zyper is a machine learning-led community marketing software.,8620000,USD,8620000,6/6/19,N
Possible Finance,https://www.crunchbase.com/organization/possible-finance,"FinTech, Health Care, Mobile Apps","Seattle, Washington, United States",Improving the financial health of everyday Americans,46500000,USD,46500000,6/6/19,N
Cylus,https://www.crunchbase.com/organization/cylus,"Cyber Security, Railroad, Transportation","Tel Aviv, Tel Aviv, Israel",Cylus offers solutions that are specifically designed to address the unique requirements and needs of the railway industry.,17000000,USD,17000000,6/6/19,N
YFood Labs,https://www.crunchbase.com/organization/yfood-labs-gmbh,"Food and Beverage, Food Processing, Nutrition","Munich, Bayern, Germany",YFood Labs is a Munich based food-tech startup which designs smart food solutions for a modern generation.,5900000,USD,5900000,6/6/19,N
Chakr Innovation,https://www.crunchbase.com/organization/chakr-innovation,"Energy, Renewable Energy","New Delhi, Delhi, India",Revolution Through Pollution,230000000,INR,3352467,6/6/19,Y
Modifi,https://www.crunchbase.com/organization/modifi-eed5,"Financial Services, FinTech","Berlin, Berlin, Germany",Modifi empowers small and medium-sized businesses to trade internationally with digital trade financing.,8500000,EUR,9599122,6/6/19,N
ReUp Education,https://www.crunchbase.com/organization/reupeducation,"Consulting, Education, Software","San Francisco, California, United States","We leverage data, technology, and coaching to re-enroll students who have left college and support them through to graduation.",6000000,USD,6000000,6/6/19,N
Enflame,https://www.crunchbase.com/organization/suiyuan-technology,"Artificial Intelligence, Training","Shanghai, Shanghai, China",Enflame is an artificial intelligence start-up developing cloud-based deep learning chips for AI training platforms.,649500000,CNY,94693266,6/6/19,N
Haulynx,https://www.crunchbase.com/organization/haulynx,"Information Technology, Transportation","Scottsdale, Arizona, United States","Using smart freight technology and machine learning, Haulynx offers a no-cost ELD to level the playing field for SMB trucking companies.",1750000,USD,1750000,6/6/19,N
Oxford Semantic Technologies,https://www.crunchbase.com/organization/oxford-semantic-technologies,"Information Services, Information Technology","Oxford, Oxfordshire, United Kingdom",Oxford Semantic Technologies mission to bring cutting-edge research in semantic web technologies to industry.,3000000,GBP,3808426,6/6/19,N
Tala Security,https://www.crunchbase.com/organization/tala-security,"Cyber Security, Information Technology, Security","Fremont, California, United States","Tala provides security solutions to protect enterprise websites against formjacking, Magecart, and advanced attacks.",14636601,USD,14636601,6/7/19,N
Swiftly,https://www.crunchbase.com/organization/swiftlyinc,"Analytics, Big Data, Internet, Public Transportation, Real Time, Smart Cities, Software, Transportation","San Francisco, California, United States",Swiftly helps cities move by changing transportation and mobility through real-time information and better data.,14450000,USD,14450000,6/7/19,Y
Platzi,https://www.crunchbase.com/organization/platzi,"Education, Edutainment, Recruiting, Training","Mountain View, California, United States","Platzi is an effective online education platform that offers classes on marketing, learn coding, business, and design.",16428315,USD,16428315,6/7/19,N
Cityfurnish,https://www.crunchbase.com/organization/cityfurnish,"E-Commerce, Furniture, Home Renovation, Rental","Gurgaon, Haryana, India",CityFurnish.com is India's Leading Furniture and Appliances Rental Brand.,5150000,USD,5150000,6/7/19,Y
AlterBooth,https://www.crunchbase.com/organization/alterbooth,"Big Data, Cloud Computing, Enterprise Software, Information Technology, SaaS, Software","Fukuoka, Fukuoka, Japan",AlterBooth develops software centered on Microsoft Azure and Amazon Web Services.,137500000,JPY,1276320,6/7/19,N
RFLocus,https://www.crunchbase.com/organization/rflocus,"Business Information Systems, Task Management, Telecommunications","Tokyo, Tokyo, Japan",RF Locus is a Business Information System service platform.,200000000,JPY,1843800,6/9/19,N
Alyce,https://www.crunchbase.com/organization/alyce-co,"Artificial Intelligence, Machine Learning, Software","Boston, Massachusetts, United States","The AI-powered platform that’s redefining direct mail, swag and gifts with its scalable, sustainable, hyper-personalized approach to ABM.",16800000,USD,16800000,6/10/19,N
Spacemaker AI,https://www.crunchbase.com/organization/spacemaker-ai,"Artificial Intelligence, Information Services, Information Technology","Oslo, Oslo, Norway",Spacemaker AI develops a game changing AI technology that discovers the smartest ways to maximize the value of any building site.,25000000,USD,25000000,6/10/19,N
Wooshii,https://www.crunchbase.com/organization/wooshii,"Advertising, Video","London, England, United Kingdom",The Video Production Marketplace,4150000,GBP,5458092,6/10/19,N
Pryon,https://www.crunchbase.com/organization/pryon,"Artificial Intelligence, Machine Learning, Natural Language Processing, Security","Raleigh, North Carolina, United States",Pryon is an AI company focused on Augmented Intelligence for the enterprise.,24500000,USD,24500000,6/11/19,N
Bipi,https://www.crunchbase.com/organization/bipi,"Automotive, Car Sharing, E-Commerce, Parking, Rental, Service Industry, Transportation","Madrid, Madrid, Spain","Bipi is a car subscription company re-inventing car ownership.  Subscribe to a car in easy, flexible and convenient way.",9000000,EUR,10350489,6/11/19,Y
Aquabyte,https://www.crunchbase.com/organization/aquabyte,"Agriculture, Aquaculture, Information Services, Information Technology","San Francisco, California, United States",Aquabyte builds machine learning camera IOT software to directly solve the world’s food sustainability issues,13500000,USD,13500000,6/11/19,Y
Edgewise Networks,https://www.crunchbase.com/organization/edgewise-networks,Network Security,"Burlington, Massachusetts, United States",Edgewise Networks is revolutionizing network security by proactively preventing application compromise and attack progression.,18000000,USD,18000000,6/11/19,N
Verrency,https://www.crunchbase.com/organization/verrency,"Banking, Financial Services, FinTech, Payments","Melbourne, Victoria, Australia",Verrency is provides an Open-API based 'Innovation-as-a-Service' Platform to Card Issuers.,14560725,USD,14560725,6/11/19,N
Foodles,https://www.crunchbase.com/organization/foodles,"Catering, Food and Beverage, Marketing, Retail Technology, Small and Medium Businesses, Wellness","Clichy, Ile-de-France, France",Foodles is a re-invented canteen for SMEs that offers autonomous internal restoration solutions.,12700507,USD,12700507,6/11/19,N
Modern Fertility,https://www.crunchbase.com/organization/modern-fertility,"Fitness, Health Care, Personal Health, Wellness, Women's","San Francisco, California, United States",Modern Fertility is a women's health company closing the fertility information gap by letting women test key fertility hormones at home. ,22000000,USD,22000000,6/11/19,N
Osmosis,https://www.crunchbase.com/organization/osmosis-2,"Education, Health Care, Medical","Baltimore, Maryland, United States","Created by the former Khan Academy Medicine team & Johns Hopkins medical students, Osmosis educates the world's clinicians and caregivers.",6600000,USD,6600000,6/11/19,N
Funderbeam,https://www.crunchbase.com/organization/funderbeam,"Big Data, Business Intelligence, Crowdfunding, Market Research, Trading Platform","London, England, United Kingdom","Funderbeam is the world's first primary and secondary marketplace for early-stage investments, secured by the blockchain.",15777557,USD,15777557,6/12/19,N
Vade Secure,https://www.crunchbase.com/organization/vade-secure,"Email, Enterprise Software, Information Technology, Security","Hem, Picardie, France","Vade Secure offers an email filtering service against phishing, malware, spear phishing, and spam.",80000000,EUR,91021664,6/12/19,N
Active.ai,https://www.crunchbase.com/organization/active-ai,"Artificial Intelligence, Financial Services, FinTech, Information Technology","Singapore, Central Region, Singapore",Active.ai is a service platform that connects consumers with their banks via micro conversation.,14750000,USD,14750000,6/12/19,N
Hyperlex,https://www.crunchbase.com/organization/hyperlex,"Analytics, Artificial Intelligence, Consulting, Enterprise Software, Information Technology, Software","Paris, Ile-de-France, France",Hyperlex is intelligent contract management platform that helps you organize and annotate your legal documents.,5090000,EUR,5847788,6/12/19,N
Spring Labs,https://www.crunchbase.com/organization/spring-labs,"Blockchain, Credit, Financial Services","Marina Del Rey, California, United States",The Un-Bureau: A Transformative and Decentralized Infrastructure for Credit and Identity Data,38750000,USD,38750000,6/12/19,N
Boniaohuiben,https://www.crunchbase.com/organization/boniaohuiben,Education,"Hangzhou, Zhejiang, China","An Education Platform based in Hangzhou,China.",25000000,CNY,3694429,6/12/19,N
IRL - Social Calendar,https://www.crunchbase.com/organization/irl-app,"Apps, Mobile Apps, Social, Social Media, Social Network","San Francisco, California, United States",IRL App is a social planning application that keeps users connected with each other.,11000000,USD,11000000,6/13/19,N
Inclusivity Solutions,https://www.crunchbase.com/organization/inclusivity-solutions,"Emerging Markets, FinTech, Insurance, InsurTech","Cape Town, NA - South Africa, South Africa","We design, build and operate digital insurance businesses in emerging markets",4478435,USD,4478435,6/13/19,N
Parashift AG,https://www.crunchbase.com/organization/parashift-ag,"Artificial Intelligence, Machine Learning","Sissach, Basel-Landschaft, Switzerland",AI-based document processing technologies,1000000,CHF,1003311,6/13/19,N
KangaDo,https://www.crunchbase.com/organization/kangado,"Mobile, Parenting, Private Social Networking","San Francisco, California, United States",KangaDo is Uber for After School! It’s an easy-to-use mobile service that provides trustworthy help for Moms on the go.,3700000,USD,3700000,6/14/19,N
Autosys,https://www.crunchbase.com/organization/autosys-industrial-solutions-private-limited,"Data Mining, Industrial Automation","Mumbai, Maharashtra, India","Autosys is a company specializing in the designing, building and implementation of real-time solutions for industrial organizations.",350000,USD,350000,6/14/19,N
Ampersand Markets,https://www.crunchbase.com/organization/ampersand-markets,"Blockchain, Industrial Manufacturing, Mining Technology, Precious Metals","Chicago, Illinois, United States",blockchain based solution for modernizing mineral economics,,,,6/14/19,N
Vertalo,https://www.crunchbase.com/organization/vertalo,"Blockchain, Financial Services, Software","Austin, Texas, United States",Vertalo is a SaaS solution connecting and enabling the digital asset economy.,2750000,USD,2750000,6/15/19,N
Floranow,https://www.crunchbase.com/organization/floranow-com,"B2B, E-Commerce, Internet, Marketplace, Retail","Dubai, Dubai, United Arab Emirates","First floral online marketplace, offering cut flowers from selected growers in Holland, Kenya and Thailand to flower shops, hotels.",3000000,USD,3000000,6/15/19,N
Jaranda,https://www.crunchbase.com/organization/jaranda,Education,"Seoul, Seoul-t'ukpyolsi, South Korea",One-on-one child-oriented play sitter / learning sheeter for working parents and children's happiness.,3100000000,KRW,2612704,6/15/19,N
Clockwise,https://www.crunchbase.com/organization/clockwise,"Enterprise Software, Information Technology, Internet, Productivity Tools, Software","San Francisco, California, United States",Clockwise is an intelligent calendar system that frees up time so that users can work on what matters.,13400000,USD,13400000,6/17/19,N
GuestReady,https://www.crunchbase.com/organization/guestready,"Facility Management, Hospitality, Housekeeping Service, Property Management, Rental Property, Travel","Trogen, Ausser-Rhoden, Switzerland",GuestReady builds a platform for real estate management with a focus on short-term rentals.,9750000,USD,9750000,6/17/19,Y
Livepeer,https://www.crunchbase.com/organization/livepeer,"Communities, Information Technology, Software, Video, Video Streaming","New York, New York, United States",Livepeer develops and operates a platform for decentralized live video broadcast on the Internet.,8000000,USD,8000000,6/17/19,N
Revieve,https://www.crunchbase.com/organization/revieve,"Augmented Reality, Digital Marketing, E-Commerce, E-Commerce Platforms, Personalization, Retail Technology","Chicago, Illinois, United States",Market-leading beauty customer-experience personalization solution for beauty brands and retailers,1870000,EUR,2080838,6/17/19,N
My Fans,https://www.crunchbase.com/organization/my-fans-ecfd,"Apps, E-Commerce, Information Technology, Internet, Mining, Software","Serang, Banten, Indonesia","is engaged in the business of apps, transportation services based on applications online,Logistics, Payments.",7000,USD,7000,6/17/19,N
Aptible,https://www.crunchbase.com/organization/aptible,"Compliance, PaaS, Privacy, SaaS, Security","San Francisco, California, United States",Compliance monitoring and automation,12120000,USD,12120000,6/18/19,N
Dishcraft Robotics,https://www.crunchbase.com/organization/dishcraft-robotics,"Manufacturing, Robotics","San Carlos, California, United States",Dishcraft Robotics develops and manufactures robots for commercial kitchens.,25242013,USD,25242013,6/18/19,N
NewtonX,https://www.crunchbase.com/organization/newtonx,"Information Services, Information Technology, Management Consulting","New York, New York, United States",NewtonX is an expert knowledge marketplace,15000000,USD,15000000,6/18/19,N
Cara Care,https://www.crunchbase.com/organization/cara,"Health Care, Health Diagnostics, Medical","Berlin, Berlin, Germany",Cara Care empowers patients suffering from chronic digestive diseases to live a healthier and happier life.,9000000,USD,9000000,6/18/19,N
Rechat,https://www.crunchbase.com/organization/rechat,"Database, Search Engine, Software","Dallas, Texas, United States","Rechat’s software offers brokers the ability to search data from the MLS system, which updated at least every five minutes",2000000,USD,2000000,6/18/19,N
MakerSights,https://www.crunchbase.com/organization/makersights,"Machine Learning, Predictive Analytics, Retail Technology, Software","San Francisco, California, United States",Actionable product intelligence. Make more confident decisions about your products and future concepts.,11600000,USD,11600000,6/19/19,N
Cypress.io,https://www.crunchbase.com/organization/cypress-io,"Developer Tools, Software","Atlanta, Georgia, United States",Cypress.io develops a front-end automated testing application for running unit and integration tests in a browser.,14809298,USD,14809298,6/19/19,N
Enboarder,https://www.crunchbase.com/organization/enboarder,"Employee Benefits, Human Resources, Information Technology, Internet, SaaS, Software","Sydney, New South Wales, Australia",Enboarder is a technology company that helps employers create engaging on-boarding experiences for their new employees.,11972504,USD,11972504,6/19/19,N
Whitebox Technologies INC,https://www.crunchbase.com/organization/whitebox-inc,"E-Commerce, Information Technology, Logistics","Baltimore, Maryland, United States",eCommerce technology; from factory floor to front door,7600000,USD,7600000,6/19/19,N
Xealth,https://www.crunchbase.com/organization/xealth,"Digital Marketing, Health Care, Health Diagnostics, Information Technology, Personal Health","Seattle, Washington, United States","Xealth is a platform for digital health, enabling clinicians to prescribe and monitor digital tools from within the EHR workflow.",22500000,USD,22500000,6/20/19,N
TrueFort,https://www.crunchbase.com/organization/truefort,"Analytics, Cloud Security, Cyber Security, Software","Weehawken, New Jersey, United States","TrueFort offers Fortress XDR, the industry's first application detection & response platform",17700000,USD,17700000,6/20/19,N
Revive Solutions,https://www.crunchbase.com/organization/revive-solutions,Health Care,"San Francisco, California, United States",Revive Solutions is a healthcare technology company develop automated external defibrillator.,11454000,USD,11454000,6/20/19,N
Apicbase,https://www.crunchbase.com/organization/apic,"Digital Media, Food and Beverage, Information Technology, Internet, Restaurants","Antwerp, Antwerpen, Belgium","SaaS Platform for Food Management: Manage products, inventory, orders, health & safety and sales analytics on 1 central platform.",2200000,EUR,2494948,6/20/19,N
Skriware,https://www.crunchbase.com/organization/skriware,"3D Printing, 3D Technology, Consumer Electronics, E-Learning, EdTech, Education, Internet of Things","Warszawa, Mazowieckie, Poland","Skriware provides an IoT ecosystem for STEAM education combining 3D printing, robotics and e-learning solutions.",4320000,USD,4320000,6/20/19,N
NotifAi,https://www.crunchbase.com/organization/notifai,"Analytics, Artificial Intelligence, Enterprise, InsurTech, Internet of Things, Machine Learning, Real Time, Sensor, Smart Home","Aliso Viejo, California, United States",NotifAi provides enterprise asset protection by leveraging technology and data from sensor networks to reduce risk.,1300000,USD,1300000,6/20/19,N
Biryani By Kilo,https://www.crunchbase.com/organization/biryani-by-kilo,"Catering, Food and Beverage, Food Delivery, Food Processing","Noida, Uttar Pradesh, India",Biryani By Kilo is a food services and delivery category company that prepares and delivers authentic dishes.,8014179,USD,8014179,6/20/19,N
Prosa.ai,https://www.crunchbase.com/organization/prosa-ai,"Artificial Intelligence, Information Technology, Machine Learning, Natural Language Processing, Software","Bandung, Jawa Barat, Indonesia",AI-Powered Natural Language and Speech Processing for Bahasa Indonesia,,,,6/20/19,N
Alma Health,https://www.crunchbase.com/organization/alma-health,"Fitness, Health Care, Therapeutics","New York, New York, United States",Alma Health offers a new practice model for therapists designed to elevate the therapy experience.,12500000,USD,12500000,6/21/19,N
UrbanAlps,https://www.crunchbase.com/organization/stealth-key-by-urbanalps-ag,"3D Printing, Laser, Manufacturing, Physical Security","Zürich, Zurich, Switzerland",UrbanAlps reinvents the mechanical key industry with 3D metal printing.,3830000,CHF,3901000,6/21/19,N
Sprii.com,https://www.crunchbase.com/organization/mini-exchange,"E-Commerce, Retail","Dubai, Dubai, United Arab Emirates",Sprii is an online retail platform providing everything for Mums & Kids,14100000,USD,14100000,6/24/19,N
Taxi2airport.com,https://www.crunchbase.com/organization/taxi2airport-com,"E-Commerce, Hospitality, Internet, Software, Taxi Service, Translation Service, Transportation, Travel, Web Development","Amsterdam, Noord-Holland, The Netherlands",TAXI2AIRPORT.COM is an online reservation and booking system for airport transfers worldwide.,3200000,EUR,3598698,6/24/19,N
Add to Event,https://www.crunchbase.com/organization/add-to-event,"Event Management, Event Promotion, Events","London, England, United Kingdom",The UK's leading marketplace for event services.,1651600,GBP,2133374,6/24/19,N
Airporter,https://www.crunchbase.com/organization/airporter,"Delivery Service, Tourism, Travel","Tokyo, Tokyo, Japan",Airporter is a tourism agency that offers luggage and baggage delivery services for customers and travelers.,,,,6/24/19,N
Omnidian,https://www.crunchbase.com/organization/omnidian-inc,"Internet of Things, Residential, Solar","Seattle, Washington, United States",Omnidian is a provider of comprehensive protection plans for investments in residential solar energy systems.,24200000,USD,24200000,6/25/19,Y
The Nue Co.,https://www.crunchbase.com/organization/the-nue-co,"Dietary Supplements, Food and Beverage, Health Care, Organic Food","New York, New York, United States",The Nue Co. deliver supplements made from foods.,10500000,USD,10500000,6/25/19,N
Tundra,https://www.crunchbase.com/organization/tundra,"E-Commerce, Internet","San Francisco, California, United States",Tundra is the modern wholesale marketplace that allows buyers and suppliers to transact online with no fees or markups.,12000000,USD,12000000,6/25/19,N
expertlead,https://www.crunchbase.com/organization/expertlead,"B2B, Big Data, Information Technology","Berlin, Berlin, Germany",expertlead is a global community of highly qualified tech freelancers.,7000000,EUR,7957946,6/25/19,N
Splyt,https://www.crunchbase.com/organization/splyt-2,"Ride Sharing, Transportation, Travel","London, England, United Kingdom",Splyt is a B2B mobility marketplace that connects institutional supply and demand for ground-based transport.,14500000,USD,14500000,6/25/19,Y
Motorway,https://www.crunchbase.com/organization/motorway,"Automotive, Consumer Reviews, E-Commerce, Electric Vehicle, Marketplace, Price Comparison","London, England, United Kingdom",Motorway is an online marketplace that connects used car sellers to buyers.,14250000,GBP,18324571,6/25/19,N
AfterShip,https://www.crunchbase.com/organization/aftership,"Customer Service, E-Commerce, Shipping","Tsuen Wan, New Territories, Hong Kong",AfterShip is a shipment tracking platform for online retailers.,2000000,USD,2000000,6/25/19,N
Car IQ,https://www.crunchbase.com/organization/cariq-2,Automotive,"San Francisco, California, United States",The first payment network for cars,7250000,USD,7250000,6/25/19,Y
Ozow formerly known as i-Pay,https://www.crunchbase.com/organization/i-pay,"Billing, Financial Services, Internet, Payments","Johannesburg, NA - South Africa, South Africa",I-Pay is an instant EFT payment service in South Africa that allows your customer to make secure online payments directly into your bank.,20000000,ZAR,1353515,6/25/19,N
Chief,https://www.crunchbase.com/organization/chief-6603,"Communities, Social Network, Women's","New York, New York, United States",Private network focused on connecting and supporting women leaders.,25000000,USD,25000000,6/25/19,N
Sistema Biobolsa,https://www.crunchbase.com/organization/sistema-biobolsa,"Agriculture, Energy, Social Entrepreneurship","Mexico City, Distrito Federal, Mexico",Promote biodigesters to promote sustainable agriculture. We transform manure into renewable energy and organic fertilizer.,12000000,USD,12000000,6/25/19,Y
eMonitor,https://www.crunchbase.com/organization/emonitor-gmbh,"Big Data, Finance, Property Management, Real Estate, Software","Zürich, Zurich, Switzerland",eMonitor is a property management software for paperless application process that also analyses socio-demographic factors.,1110000,CHF,1138106,6/25/19,N
Reliefed Technologies,https://www.crunchbase.com/organization/reliefed-technologies,"3D Technology, Manufacturing, Product Design","Varberg, Hallands Lan, Sweden",3D technology enabler for serial/mass production volumes,4000000,SEK,441539,6/25/19,N
Climb Credit,https://www.crunchbase.com/organization/climb-credit,"Credit, Education, FinTech, Higher Education, Lending","New York, New York, United States",Climb is a student lending platform that helps learners finance education that is likely to pay them back.,65800000,USD,65800000,6/26/19,Y
Vulcan Cyber,https://www.crunchbase.com/organization/vulcan-cyber,"Cyber Security, Network Security, Security, Software","Tel Aviv, Tel Aviv, Israel",Vulcan Cyber is a security company that helps enterprises quickly detect and fix vulnerabilities in their software stack and code.,14000000,USD,14000000,6/26/19,N
StratiFi,https://www.crunchbase.com/organization/stratifi,"Angel Investment, Finance, Financial Services, FinTech","San Francisco, California, United States",Make Smarter Investment Decisions,7000000,USD,7000000,6/26/19,N
NeuroBlade,https://www.crunchbase.com/organization/neuroblade,"Artificial Intelligence, Computer, Hardware, Semiconductor","Hod Hasharon, HaMerkaz, Israel",Fabless semiconductor company,27500000,USD,27500000,6/26/19,N
Adriel,https://www.crunchbase.com/organization/adriel,"Advertising, Artificial Intelligence, Digital Marketing, Small and Medium Businesses","Seoul, Seoul-t'ukpyolsi, South Korea",Your dedicated online marketing team backed by AI. Expert services starting from $2 a day.,6500000,USD,6500000,6/26/19,N
Neurosensum,https://www.crunchbase.com/organization/neurosensum,"Artificial Intelligence, Consumer, Consumer Research, Neuroscience","Kuningan, Jakarta Raya, Indonesia",Neurosensum is a neuroscience and AI-based company that uses neuroscience tools in understanding consumer’s subconscious response.,2440000,USD,2440000,6/26/19,N
PayZakat,https://www.crunchbase.com/organization/payzakat,Financial Services,"Moscow, Moscow City, Russian Federation",PayZakat is a unique Islamic FinTech plaform.,159329,USD,159329,6/26/19,N
